name,short,scope
"applied-soft-computing-writing","Applied Soft Computing","fuzzy systems, evolutionary computation, neural/soft-computing applications"
"artificial-intelligence-medicine-writing","Artificial Intelligence in Medicine","AI methods for medical decision support, clinical data, diagnostic/prognostic modeling, and interpretability"
"artificial-intelligence-writing","Artificial Intelligence","foundational AI, reasoning, planning, learning, agents"
"biomedical-signal-processing-control-writing","Biomedical Signal Processing and Control","biomedical signal analysis, control, sensors, physiological signals, and clinical engineering validation"
"cmpb-writing","Computer Methods and Programs in Biomedicine","biomedical software, methods, computational systems, validation, and reproducible implementations"
"computer-speech-language-writing","Computer Speech & Language","speech processing, NLP, language technology, dialogue, ASR/TTS, and linguistic evaluation"
"computers-biology-medicine-writing","Computers in Biology and Medicine","computational methods for biology, medicine, diagnostics, biomedical data, and translational validation"
"cviu-writing","Computer Vision and Image Understanding","computer vision, image understanding, scene analysis, perception systems"
"data-knowledge-engineering-writing","Data & Knowledge Engineering","data management, knowledge representation, databases, reasoning, information systems, and semantic methods"
"decision-support-systems-writing","Decision Support Systems","decision analytics, intelligent decision systems, recommender/optimization support, and organizational value"
"eaai-writing","Engineering Applications of Artificial Intelligence","AI methods with engineering application value, validation, deployment constraints, and practical impact"
"eswa-writing","Expert Systems With Applications","AI methods with practical decision-support or expert-system applications"
"future-generation-computer-systems-writing","Future Generation Computer Systems","distributed systems, cloud/edge computing, big data infrastructure, AI systems, and performance evaluation"
"image-and-vision-computing-writing","Image and Vision Computing","image analysis, computer vision methods and applications"
"information-fusion-writing","Information Fusion","multi-source information fusion, sensor fusion, multimodal learning, uncertainty, and decision fusion"
"information-sciences-writing","Information Sciences","information systems, intelligent systems, data/knowledge processing"
"jvcir-writing","Journal of Visual Communication and Image Representation","visual communication, image/video representation, compression, retrieval, and media analysis"
"kbs-writing","Knowledge-Based Systems","knowledge-based AI, reasoning, decision support, data-driven intelligence"
"medical-image-analysis-writing","Medical Image Analysis","medical image computing, analysis, diagnosis, clinical imaging AI"
"neurocomputing-writing","Neurocomputing","neural computation, deep learning, machine learning systems"
"pr-writing","Pattern Recognition","pattern recognition, computer vision, machine learning, statistical recognition"
"prl-writing","Pattern Recognition Letters","concise pattern recognition articles and letters"
"robotics-autonomous-systems-writing","Robotics and Autonomous Systems","robotic autonomy, planning, control, perception, human-robot interaction, and field experiments"
"signal-processing-image-communication-writing","Signal Processing: Image Communication","image/video communication, compression, streaming, quality assessment, and media systems"
"signal-processing-writing","Signal Processing","signal processing theory, algorithms, audio/image/biomedical signals, filtering, estimation, and learning-based signal models"
