component,skill
ablation-study,ieee-ablation-study
abstract,ieee-abstract
abstract-index-terms,ieee-abstract-index-terms
access-writing,ieee-access-writing
acknowledgment-first-footnote,ieee-acknowledgment-first-footnote
ai-disclosure-integrity,ieee-ai-disclosure-integrity
algorithm-pseudocode,ieee-algorithm-pseudocode
appendix,ieee-appendix
artifact-availability,ieee-artifact-availability
author-agreement,ieee-author-agreement
author-contribution,ieee-author-contribution
baseline-selection,ieee-baseline-selection
caption,ieee-caption
checklist-risk-register,ieee-checklist-risk-register
citation,ieee-citation
competing-interest,ieee-competing-interest
conclusion,ieee-conclusion
conference-extension,ieee-conference-extension
conference-extension-delta,ieee-conference-extension-delta
contribution-positioning,ieee-contribution-positioning
copyright-license,ieee-copyright-license
cover-letter,ieee-cover-letter
cover-letter-fit-statement,ieee-cover-letter-fit-statement
data-code-availability,ieee-data-code-availability
dataset-protocol,ieee-dataset-protocol
discussion,ieee-discussion
editorial-screening,ieee-editorial-screening
equation,ieee-equation
ethics-limitations,ieee-ethics-limitations
experiment-ablation,ieee-experiment-ablation
experimental-design,ieee-experimental-design
figure,ieee-figure
figure-table,ieee-figure-table
final-production-files,ieee-final-production-files
funding-acknowledgment,ieee-funding-acknowledgment
graphical-abstract,ieee-graphical-abstract
index-terms,ieee-index-terms
introduction,ieee-introduction
introduction-related-work,ieee-introduction-related-work
journal-router,ieee-journal-router
latex-source-package,ieee-latex-source-package
latex-template-audit,ieee-latex-template-audit
limitations,ieee-limitations
math-notation,ieee-math-notation
method-algorithm,ieee-method-algorithm
method-details,ieee-method-details
metrics-evaluation,ieee-metrics-evaluation
multimedia-supplement,ieee-multimedia-supplement
official-source-audit,ieee-official-source-audit
open-access-decision,ieee-open-access-decision
polishing,ieee-polishing
preprint-prior-publication,ieee-preprint-prior-publication
problem-formulation,ieee-problem-formulation
proof-correction,ieee-proof-correction
reference-integrity,ieee-reference-integrity
related-work,ieee-related-work
reproducibility-check,ieee-reproducibility-check
response,ieee-response
results-reporting,ieee-results-reporting
reviewer,ieee-reviewer
reviewer-response-matrix,ieee-reviewer-response-matrix
revision-diff,ieee-revision-diff
revision-strategy,ieee-revision-strategy
statistical-reporting,ieee-statistical-reporting
submission-metadata,ieee-submission-metadata
supplementary-files,ieee-supplementary-files
supplementary-material,ieee-supplementary-material
table,ieee-table
template-paper-miner,ieee-template-paper-miner
theory-proof,ieee-theory-proof
title-author-metadata,ieee-title-author-metadata
visual-accessibility,ieee-visual-accessibility
writing,ieee-writing
