paper_id,title,journal,publisher_family,year,license,source_url,site_image_path,permission_status
tpami-2023-transformers-survey,Multimodal Learning With Transformers: A Survey,IEEE TPAMI,IEEE,2023,Creative Commons Attribution 4.0 (CC BY 4.0),https://eng.ox.ac.uk/media/ttrg2f51/2023-ieee-px.pdf,gallery/ieee/tpami-2023-transformers-survey__p001__main_figure.png,requires-license-and-third-party-material-review-before-reuse
tip-2022-see360,See360: Novel Panoramic View Interpolation,IEEE TIP,IEEE,2022,Creative Commons Attribution 4.0 (CC BY 4.0),https://ira.lib.polyu.edu.hk/bitstream/10397/96492/1/See360_Novel_Panoramic_View_Interpolation.pdf,gallery/ieee/tip-2022-see360__p001__main_figure.png,requires-license-and-third-party-material-review-before-reuse
tmi-2020-lesion-localization,Iterative Augmentation of Visual Evidence for Weakly Supervised Lesion Localization in Deep Interpretability Frameworks: Application to Color Fundus Images,IEEE TMI,IEEE,2020,Creative Commons Attribution 4.0 (CC BY 4.0),https://pure.uva.nl/ws/files/68020849/Iterative_Augmentation_of_Visual_Evidence_for_Weakly_Supervised_Lesion_Localization_in_Deep_Interpretability_Frameworks_Application_to_Color_Fundus_Images.pdf,gallery/ieee/tmi-2020-lesion-localization__p004__main_figure.png,requires-license-and-third-party-material-review-before-reuse
tnnls-2023-sparce,SpaRCe: Improved Learning of Reservoir Computing Systems Through Sparse Representations,IEEE TNNLS,IEEE,2023,Creative Commons Attribution 4.0 (CC BY 4.0),https://eprints.whiterose.ac.uk/id/eprint/241349/1/SpaRCe_Improved_Learning_of_Reservoir_Computing_Systems_Through_Sparse_Representations.pdf,gallery/ieee/tnnls-2023-sparce__p004__main_figure.png,requires-license-and-third-party-material-review-before-reuse
tnnls-2024-mediterranean,Fully Connected Networks on a Diet With the Mediterranean Matrix Multiplication,IEEE TNNLS,IEEE,2024,Creative Commons Attribution 4.0 (CC BY 4.0),https://cronfa.swan.ac.uk/Record/cronfa60038/Download/60038__31356__0b683a7201f540b89f3f8ca0f373040d.pdf,gallery/ieee/tnnls-2024-mediterranean__p003__main_figure.png,requires-license-and-third-party-material-review-before-reuse
pr-2024-linear-transportation-lp-distance,A linear transportation Lp distance for pattern recognition,Pattern Recognition,Elsevier,2024,Creative Commons Attribution 4.0 (CC BY 4.0),https://wrap.warwick.ac.uk/id/eprint/185436/13/1-s2.0-S003132032300777X-main.pdf,gallery/elsevier/pr-2024-linear-transportation-lp-distance__p007__main_figure.png,requires-license-and-third-party-material-review-before-reuse
prl-2023-too-good-prior,A too-good-to-be-true prior to reduce shortcut reliance,Pattern Recognition Letters,Elsevier,2023,Creative Commons Attribution 4.0 (CC BY 4.0),https://juser.fz-juelich.de/record/1024830/files/1-s2.0-S0167865522003841-main-1.pdf,gallery/elsevier/prl-2023-too-good-prior__p002__main_figure.png,requires-license-and-third-party-material-review-before-reuse
eswa-2024-knowledge-based-ai,Enhancing vessel arrival time prediction: A fusion-based deep learning approach,Expert Systems With Applications,Elsevier,2024,Creative Commons Attribution 4.0 (CC BY 4.0),https://pure.uva.nl/ws/files/204160450/1-s2.0-S0957417424008546-main.pdf,gallery/elsevier/eswa-2024-knowledge-based-ai__p005__main_figure.png,requires-license-and-third-party-material-review-before-reuse
neurocomputing-2024-xai-cybersecurity,Advanced insights through systematic analysis: Mapping future research directions and opportunities for xAI in deep learning and artificial intelligence used in cybersecurity,Neurocomputing,Elsevier,2024,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.starlight-h2020.eu/sites/default/files/2024-05/Advanced%20insights%20through%20systematic%20analysis.pdf,gallery/elsevier/neurocomputing-2024-xai-cybersecurity__p002__main_figure.png,requires-license-and-third-party-material-review-before-reuse
information-sciences-2025-gkf-pual,GKF-PUAL: A group kernel-free approach to positive-unlabeled learning with variable selection,Information Sciences,Elsevier,2025,Creative Commons Attribution 4.0 (CC BY 4.0),https://openaccess.city.ac.uk/id/eprint/33901/8/1-s2.0-S0020025524014889-main.pdf,gallery/elsevier/information-sciences-2025-gkf-pual__p003__main_figure.png,requires-license-and-third-party-material-review-before-reuse
kbs-2023-alzheimers-explainable-ai,Adazd-Net: Automated adaptive and explainable Alzheimer’s disease detection system using EEG signals,Knowledge-Based Systems,Elsevier,2023,Creative Commons Attribution 4.0 (CC BY 4.0),https://pure.au.dk/ws/files/401416437/1-s2.0-S0950705123006081-main.pdf,gallery/elsevier/kbs-2023-alzheimers-explainable-ai__p004__main_figure.png,requires-license-and-third-party-material-review-before-reuse
